Symbol,Accuracy
HONDAPOWER,53.38904363974002
HOVS,56.74418604651162
HPAL,55.04587155963303
HPIL,65.84158415841584
HPL,55.3133514986376
HSCL,53.333333333333336
HTMEDIA,54.3263964950712
HUBTOWN,55.63463819691577
HUDCO,56.676557863501486
HUHTAMAKI,55.84415584415584
HYBRIDFIN,51.61290322580645
ICDSLTD,63.1578947368421
ICEMAKE,53.57142857142857
ICICIBANK,53.1104921077066
ICICIGI,48.90282131661442
ICICIPRULI,52.71739130434783
ICIL,53.17982456140351
ICRA,51.199040767386094
IDBI,53.422724064925895
IDEA,54.350417163289634
IDEAFORGE,60.60606060606061
IDFCFIRSTB,56.79611650485437
IEL,67.79661016949152
IEX,47.61904761904761
IFBAGRO,55.06035283194058
IFBIND,52.50463821892394
IFCI,61.00278551532033
IFGLEXPOR,51.503006012024045
IGARASHI,55.10204081632652
IGL,51.8
IGPL,53.55450236966824
IIFL,51.56081808396125
IITL,63.67713004484305
IKIO,58.333333333333336
IL&FSENGG,58.11648079306072
IL&FSTRANS,59.79680696661829
IMAGICAA,53.51473922902494
IMFA,53.49182763744428
IMPAL,51.04510451045105
IMPEXFERRO,62.990455991516434
INCREDIBLE,52.63157894736842
INDBANK,63.026315789473685
INDHOTEL,51.76252319109462
INDIACEM,52.8954802259887
INDIAGLYCO,58.30223880597016
INDIAMART,50.43103448275862
INDIANB,48.80952380952381
INDIANCARD,55.47309833024119
INDIANHUME,55.287569573283854
INDIASHLTR,45.45454545454545
INDIGO,48.41849148418492
INDIGOPNTS,52.94117647058824
INDNIPPON,52.875695732838594
INDOAMIN,57.60869565217392
INDOBORAX,58.333333333333336
INDOCO,51.42857142857142
INDORAMA,56.209150326797385
INDOSTAR,58.88501742160279
INDOTECH,54.11499436302142
INDOTHAI,50.24630541871922
INDOWIND,56.33456334563346
INDRAMEDCO,54.86265775798069
INDSWFTLAB,56.63881151346333
INDSWFTLTD,54.07098121085595
INDTERRAIN,52.73010920436817
INDUSINDBK,50.37105751391465
INDUSTOWER,52.53623188405797
INFIBEAM,56.37755102040817
INFOBEAN,59.14634146341463
INFOMEDIA,68.05942432683379
INFY,51.94071983062809
INGERRAND,52.36768802228412
INNOVACAP,50.0
INNOVANA,61.68831168831169
INOXGREEN,46.875
INOXINDIA,54.54545454545454
INOXWIND,54.6485260770975
INSECTICID,49.39613526570048
INSPIRISYS,55.140186915887845
INTELLECT,53.84615384615385
INTENTECH,53.779069767441854
INTLCONV,55.28455284552846
INVENTURE,61.83574879227053
IOB,53.1104921077066
IOC,51.24910778015703
IOLCP,54.25531914893617
IONEXCHANG,54.45544554455446
IPCALAB,49.293785310734464
IPL,54.13533834586466
IRB,52.78481012658228
IRCON,53.53159851301115
IRCTC,50.2283105022831
IREDA,57.14285714285714
IRFC,50.64935064935064
IRIS,49.137931034482754
IRISDOREME,58.01526717557252
IRMENERGY,61.11111111111112
ISEC,49.829351535836174
ISFT,54.29403202328966
ISGEC,48.93617021276596
ITC,52.54237288135594
ITDC,58.87323943661972
ITDCEM,54.22469823584029
ITI,59.42432683379758
IVC,57.5139146567718
IVP,55.524605385329615
IWEL,45.588235294117645
IZMO,56.10913404507711
J&KBANK,58.45004668534081
JAGRAN,50.89887640449439
JAGSNPHARM,57.05009276437848
JAIBALAJI,55.78842315369261
JAICORPLTD,54.26716141001855
JAIPURKURT,55.27638190954774
JAMNAAUTO,55.5895865237366
JASH,53.79746835443038
JAYAGROGN,53.896103896103895
JAYBARMARU,55.84415584415584
JAYNECOIND,58.25602968460112
JAYSREETEA,56.63881151346333
JBCHEPHARM,52.27483751160631
JBMA,54.7945205479452
JCHAC,52.85714285714286
JETFREIGHT,73.33333333333333
JHS,58.343057176196034
JINDALPHOT,54.389721627409
JINDALPOLY,53.48189415041783
JINDALSAW,52.36768802228412
JINDALSTEL,52.16680294358136
JINDRILL,55.56711758584808
JINDWORLD,53.58778625954198
JIOFIN,57.692307692307686
JISLDVREQS,54.04958677685951
JISLJALEQS,53.950953678474114
JITFINFRA,53.735632183908045
JKCEMENT,50.62006764374295
JKIL,50.505050505050505
JKLAKSHMI,51.771428571428565
JKPAPER,52.922077922077925
JKTYRE,51.434426229508205
JLHL,34.78260869565217
JMA,51.35135135135135
JMFINANCIL,55.529685681024446
JOCIL,54.736842105263165
JPOLYINVST,57.56385068762279
JPPOWER,57.9849946409432
JSFB,100.0
JSL,53.87673956262425
JSWENERGY,51.71428571428572
JSWHL,51.08225108225109
JSWINFRA,66.66666666666666
JSWSTEEL,49.37076476282672
JTEKTINDIA,54.80961923847696
JTLIND,44.95412844036697
JUBLFOOD,46.18705035971223
JUBLINGREA,56.4625850340136
JUBLPHARMA,50.742115027829314
JUNIPER,100.0
JUSTDIAL,54.99058380414312
JWL,56.58093797276853
JYOTHYLAB,48.81101376720901
JYOTICNC,14.285714285714285
JYOTISTRUC,58.99788285109386
KABRAEXTRU,53.432282003710576
KAJARIACER,47.63231197771588
KAKATCEM,54.59610027855153
KALAMANDIR,59.09090909090909
KALYANIFRG,59.44931163954944
KALYANKJIL,49.31506849315068
KAMATHOTEL,54.874651810584965
KAMDHENU,55.11363636363637
KAMOPAINTS,43.63636363636363
KANANIIND,56.38474295190713
KANORICHEM,55.56586270871985
KANPRPLA,52.86624203821656
KANSAINER,51.62488393686166
KAPSTON,59.79381443298969
KARMAENG,57.66773162939297
KARURVYSYA,51.8361581920904
KAUSHALYA,65.875
KAVVERITEL,57.43073047858942
KAYA,57.68321513002365
KAYNES,45.3125
KBCGLOBAL,57.82312925170068
KCP,54.22469823584029
KCPSUGIND,56.91736304549675
KDDL,47.82608695652174
KEC,50.700280112044815
KECL,55.92485549132948
KEEPLEARN,63.6986301369863
KEI,52.25733634311512
KELLTONTEC,53.78787878787878
KERNEX,51.72413793103448
KESORAMIND,54.12844036697248
KEYFINSERV,72.70194986072424
KFINTECH,54.23728813559322
KHADIM,60.89743589743589
KHAICHEM,56.024096385542165
KHAITANLTD,70.47353760445682
KHANDSE,64.43825441039925
KICL,56.86015831134564
KILITCH,55.203619909502265
KIMS,47.01492537313433
KINGFA,58.285714285714285
KIOCL,55.27777777777778
